phrase,PQP,auxiliary,verb,marker,translation,group
"Moi j'ai une copine éthiopienne qui était allé là-bas, mais elle savait elle avait jamais été scolarisée, donc elle savait même pas tenir un stylo quoi.",elle avait jamais été,avoir,être,jamais,never,never
"maman a jamais voulu que j'en fasse partie, parce qu'il fallait sortir le soir et, si jamais j'avais croisé un garçon en route, eh ben euh, pas question.",jamais j'avais croisé,avoir,croiser,jamais,never,never
enfin j'ai rarement au contraire moi je me disais sans arrêt j'ai rarement approché d'aussi près des gens c'est devenu faux par la suite mais à l'époque j'avais jamais approché d'aussi près une famille qui gagnait autant d'argent,j'avais jamais approché,avoir,approcher,jamais,never,never
exactement et j'ai une copine qui s'est mise à coudre comme ça alors qu'elle avait jamais cousu de sa vie et chaque mois c'est de mieux en mieux et cetera euh voilà,elle avait jamais cousu,avoir,coudre,jamais,never,never
mais des prénoms également que je n'avais jamais entendus de ma vie,je n'avais jamais entendus,avoir,entendre,jamais,never,never
pas très régulièrement ce qui m'a manqué quand j'ai déménagé justement parce que je n'avais jamais déménagé c'est qu'il a fallu que je me recrée des marchands,je n'avais jamais déménagé,avoir,déménager,jamais,never,never
alors que vous vos parents n'avaient jamais surveillé les devoirs,vos parents n'avaient jamais surveillé,avoir,surveiller,jamais,never,never
euh avec un avec un peu de recul je je je crois que on était un peu ben comme on dit le nez dans le guidon finalement donc on voyait pas trop fi- au au niveau des des femmes de la génération de ma mère où même des grand-mères où était vraiment les les le le le problème euh je crois que c'est quelques années plus tard oui où vraiment là on s'était rendu compte de ce que ce qu'avait été la vie de certaines femmes et moi je me suis rendue compte que par exemple ma mère euh elle avait jamais géré son salaire quoi euh qu'elle avait pas de compte en banque mais je pense que ça vraiment c'est quand on a eu peut-être oui à peu près vingt ans quoi dix-huit vingt ans que oui parce que moi j'ai eu la majorité à vingt ans,elle avait jamais géré,avoir,gérer,jamais,never,never
j'y avais jamais pensé comme ça mais ouais c'est vrai que ça y ressemble,j'y avais jamais pensé,avoir,penser,jamais,never,never
des histoires de bizutage il m'en avait jamais parlé il y en a un,il m'en avait jamais parlé,avoir,parler,jamais,never,never
bon ben ils hop ils ont fallu qu'ils se mettent à apprendre le latin ils n'en avaient jamais fait euh,ils n'en avaient jamais fait,avoir,faire,jamais,never,never
